subject_id,praise,honesty
1,Praised Intelligence,Lied About Performance
2,Praised Intelligence,Lied About Performance
3,Praised Intelligence,Lied About Performance
4,Praised Intelligence,Lied About Performance
5,Praised Intelligence,Lied About Performance
6,Praised Intelligence,Lied About Performance
7,Praised Intelligence,Lied About Performance
8,Praised Intelligence,Lied About Performance
9,Praised Intelligence,Lied About Performance
10,Praised Intelligence,Lied About Performance
11,Praised Intelligence,Lied About Performance
12,Praised Effort,Lied About Performance
13,Praised Effort,Lied About Performance
14,Praised Effort,Lied About Performance
15,Praised Effort,Lied About Performance
16,Control Group,Lied About Performance
17,Control Group,Lied About Performance
18,Control Group,Lied About Performance
19,Control Group,Lied About Performance
20,Praised Intelligence,Did Not Lie
21,Praised Intelligence,Did Not Lie
22,Praised Intelligence,Did Not Lie
23,Praised Intelligence,Did Not Lie
24,Praised Intelligence,Did Not Lie
25,Praised Intelligence,Did Not Lie
26,Praised Intelligence,Did Not Lie
27,Praised Intelligence,Did Not Lie
28,Praised Intelligence,Did Not Lie
29,Praised Intelligence,Did Not Lie
30,Praised Intelligence,Did Not Lie
31,Praised Intelligence,Did Not Lie
32,Praised Intelligence,Did Not Lie
33,Praised Intelligence,Did Not Lie
34,Praised Intelligence,Did Not Lie
35,Praised Intelligence,Did Not Lie
36,Praised Intelligence,Did Not Lie
37,Praised Intelligence,Did Not Lie
38,Praised Effort,Did Not Lie
39,Praised Effort,Did Not Lie
40,Praised Effort,Did Not Lie
41,Praised Effort,Did Not Lie
42,Praised Effort,Did Not Lie
43,Praised Effort,Did Not Lie
44,Praised Effort,Did Not Lie
45,Praised Effort,Did Not Lie
46,Praised Effort,Did Not Lie
47,Praised Effort,Did Not Lie
48,Praised Effort,Did Not Lie
49,Praised Effort,Did Not Lie
50,Praised Effort,Did Not Lie
51,Praised Effort,Did Not Lie
52,Praised Effort,Did Not Lie
53,Praised Effort,Did Not Lie
54,Praised Effort,Did Not Lie
55,Praised Effort,Did Not Lie
56,Praised Effort,Did Not Lie
57,Praised Effort,Did Not Lie
58,Praised Effort,Did Not Lie
59,Praised Effort,Did Not Lie
60,Praised Effort,Did Not Lie
61,Praised Effort,Did Not Lie
62,Praised Effort,Did Not Lie
63,Praised Effort,Did Not Lie
64,Control Group,Did Not Lie
65,Control Group,Did Not Lie
66,Control Group,Did Not Lie
67,Control Group,Did Not Lie
68,Control Group,Did Not Lie
69,Control Group,Did Not Lie
70,Control Group,Did Not Lie
71,Control Group,Did Not Lie
72,Control Group,Did Not Lie
73,Control Group,Did Not Lie
74,Control Group,Did Not Lie
75,Control Group,Did Not Lie
76,Control Group,Did Not Lie
77,Control Group,Did Not Lie
78,Control Group,Did Not Lie
79,Control Group,Did Not Lie
80,Control Group,Did Not Lie
81,Control Group,Did Not Lie
82,Control Group,Did Not Lie
83,Control Group,Did Not Lie
84,Control Group,Did Not Lie
85,Control Group,Did Not Lie
86,Control Group,Did Not Lie
87,Control Group,Did Not Lie
88,Control Group,Did Not Lie
